Column,Set,Benchmark,Result
Cortex-A53,Patch,jetstream-asmjs-dry,6494
Cortex-A53,Patch,jetstream-asmjs-float-mm,9845
Cortex-A53,Patch,jetstream-asmjs-gcc-loops,46813
Cortex-A53,Patch,jetstream-asmjs-n-body,12876
Cortex-A53,Patch,jetstream-asmjs-quicksort,2495
Cortex-A53,Patch,jetstream-asmjs-towers,3751
Cortex-A53,Patch,jetstream-asmjs-bigfib,4694
Cortex-A53,Patch,jetstream-asmjs-container,28491
Cortex-A53,Patch,jetstream-asmjs-dry,6022
Cortex-A53,Patch,jetstream-asmjs-float-mm,10141
Cortex-A53,Patch,jetstream-asmjs-gcc-loops,46618
Cortex-A53,Patch,jetstream-asmjs-n-body,12733
Cortex-A53,Patch,jetstream-asmjs-quicksort,2495
Cortex-A53,Patch,jetstream-asmjs-towers,3751
Cortex-A57,Patch,asmjs-apps-box2d-loadtime,2797
Cortex-A57,Patch,asmjs-apps-box2d-throughput,10531
Cortex-A57,Patch,asmjs-apps-bullet-loadtime,7177
Cortex-A57,Patch,asmjs-apps-bullet-throughput,15856
Cortex-A57,Patch,asmjs-apps-lua_binarytrees-loadtime,1879
Cortex-A57,Patch,asmjs-apps-lua_binarytrees-throughput,9498
Cortex-A57,Patch,asmjs-apps-zlib-loadtime,2037
Cortex-A57,Patch,asmjs-apps-zlib-throughput,7967
Cortex-A57,Patch,asmjs-apps-box2d-loadtime,2789
Cortex-A57,Patch,asmjs-apps-box2d-throughput,10476
Cortex-A57,Patch,asmjs-apps-bullet-loadtime,7169
Cortex-A57,Patch,asmjs-apps-bullet-throughput,16114
Cortex-A57,Patch,asmjs-apps-lua_binarytrees-loadtime,1879
Cortex-A57,Patch,asmjs-apps-lua_binarytrees-throughput,9503
Cortex-A57,Patch,asmjs-apps-zlib-loadtime,1787
Cortex-A57,Patch,asmjs-apps-zlib-throughput,7954
Cortex-A57,Patch,asmjs-apps-box2d-loadtime,2797
Cortex-A57,Patch,asmjs-apps-box2d-throughput,10527
Cortex-A57,Patch,asmjs-apps-bullet-loadtime,7170
Cortex-A57,Patch,asmjs-apps-bullet-throughput,16050
Cortex-A57,Patch,asmjs-apps-lua_binarytrees-loadtime,1885
Cortex-A57,Patch,asmjs-apps-lua_binarytrees-throughput,9541
Cortex-A57,Patch,asmjs-apps-zlib-loadtime,1783
Cortex-A57,Patch,asmjs-apps-zlib-throughput,8211
Cortex-A57,Patch,asmjs-apps-box2d-loadtime,2801
Cortex-A57,Patch,asmjs-apps-box2d-throughput,10465
Cortex-A57,Patch,asmjs-apps-bullet-loadtime,7162
Cortex-A57,Patch,asmjs-apps-bullet-throughput,16209
Cortex-A57,Patch,asmjs-apps-lua_binarytrees-loadtime,1894
Cortex-A57,Patch,asmjs-apps-lua_binarytrees-throughput,9506
Cortex-A57,Patch,asmjs-apps-zlib-loadtime,1784
Cortex-A57,Patch,asmjs-apps-zlib-throughput,7964
Cortex-A57,Patch,asmjs-apps-box2d-loadtime,2797
Cortex-A57,Patch,asmjs-apps-box2d-throughput,10483
Cortex-A57,Patch,asmjs-apps-bullet-loadtime,7162
Cortex-A57,Patch,asmjs-apps-bullet-throughput,16185
Cortex-A57,Patch,asmjs-apps-lua_binarytrees-loadtime,1872
Cortex-A57,Patch,asmjs-apps-lua_binarytrees-throughput,9743
Cortex-A57,Patch,asmjs-apps-zlib-loadtime,1785
Cortex-A57,Patch,asmjs-apps-zlib-throughput,7969
Cortex-A57,Patch,asmjs-ubench-copy,12587
Cortex-A57,Patch,asmjs-ubench-corrections,16488
Cortex-A57,Patch,asmjs-ubench-fannkuch,17504
Cortex-A57,Patch,asmjs-ubench-fasta,39308
Cortex-A57,Patch,asmjs-ubench-life,17527
Cortex-A57,Patch,asmjs-ubench-memops,31036
